id_original,nombre_referencia,total_docs,toxicidad_genetica,carcinogenesis,estres_oxidativo,disrupcion_endocrina,toxicidad_metabolica,hepatotoxicidad,nefrotoxicidad,cardiotoxicidad,neurotoxicidad,microbiota_dysbiosis,barrera_hematoencefalica,barrera_intestinal,inflamacion_pro,alergia_inmune,autoinmunidad,antioxidante_tecnico,valor_prebiotico,citoproteccion_salud,actividad_antimicrobiana,epigenetica,bioacumulacion_persistencia,nanoparticulas,evidencia_humana,estudios_mecanisticos,estudios_in_vivo,interacciones,toxicidad_emulsionantes,toxicidad_edulcorantes,toxicidad_conservadores
0,Dicalcium citrate,89607,786,1938,1454,43,2510,328,744,1260,987,110,856,61,1862,1014,896,471,62,627,5169,998,606,2450,15737,4998,12097,427,17,2,0
1,Butylated hydroxytoluene,92396,1018,2374,2426,62,2745,376,762,1445,987,133,828,78,1902,1238,939,2296,57,699,5478,861,546,2181,17059,4591,12990,528,23,12,3
2,Magnesium citrate,78147,599,1318,992,42,2039,221,598,1135,793,83,663,39,1508,874,724,428,43,460,4516,728,486,1652,13407,3410,9231,383,19,1,1
3,Potassium ascorbate,83417,669,1619,1378,76,2518,355,685,1204,977,125,704,69,1737,1103,867,476,53,558,4931,755,503,2088,15030,4194,11023,383,21,0,1
4,lipase,191121,6830,6116,7246,458,13531,1554,733,1551,1769,354,1041,262,3426,1322,745,5842,354,3431,23765,4619,2930,9920,8568,14021,55929,2311,297,9,2
5,Potassium carbonates,70117,568,1517,1341,70,2093,282,573,1029,790,101,634,87,1577,784,673,486,50,626,3966,851,409,1763,14024,4216,9234,337,30,2,0
6,Propylene glycol,53145,422,980,794,49,1699,191,479,924,509,75,420,46,1048,839,467,419,36,344,3655,529,431,1762,12179,2307,6643,288,18,3,4
7,Aluminium ammonium sulphate,44800,324,747,563,12,1448,160,369,732,422,50,362,31,911,560,424,212,28,251,2450,463,252,905,9399,1986,4777,183,8,0,0
8,sodium alginate,80292,554,1375,1309,43,2270,255,533,1070,750,112,657,62,1454,827,697,1006,74,476,5465,662,507,3591,14594,3565,10158,348,22,3,0
9,Alkannin,200000,3168,6794,5667,273,8741,1152,2527,4982,3558,734,2921,341,7251,4463,3292,2413,421,2180,22282,3251,2663,10402,57095,16388,44794,1806,60,7,1
10,Citrus Red 2,200000,1890,4406,2947,129,6860,704,1925,3843,2516,307,2078,161,4681,3310,2207,1178,136,1430,12545,2241,1328,5151,46861,11422,27144,1018,39,5,0
11,Monoammonium glutamate,34624,238,581,431,25,1239,132,299,492,348,45,285,18,781,481,338,226,30,190,1870,312,208,784,8741,1494,3343,151,4,0,0
12,Starch aluminium octenyl succinate,8315,57,153,140,2,211,28,58,154,83,19,82,9,180,90,75,62,7,45,473,121,29,286,1525,537,976,35,0,0,0
13,Ammonium phosphate,59213,367,1028,781,18,1920,193,505,944,606,70,511,48,1213,704,623,312,45,342,3246,732,342,1310,12677,2874,6086,237,5,1,0
14,Lysozyme,57193,403,888,2627,34,985,133,495,613,543,306,386,251,1742,921,633,917,220,328,21423,1032,347,2941,5682,4841,8957,298,15,1,0
15,Calcium hydrogen carbonate,155539,1284,2765,2339,119,4505,572,1307,2499,1680,203,1307,89,3167,1839,1534,918,98,1000,8937,1449,1099,4348,30897,7583,19617,717,26,3,0
16,Erythritol,20998,116,305,298,5,760,91,161,337,191,64,163,23,440,246,190,129,27,98,1230,262,106,389,4813,1190,2063,88,4,10,0
17,Calcium aluminium silicate,32143,217,534,498,24,1043,99,335,578,345,55,289,18,746,376,353,226,19,178,1814,325,161,655,6984,1364,2979,125,9,0,0
18,Erythorbin acid,200000,53964,118104,174667,3291,142303,24273,27092,27920,50114,18369,26164,7316,83496,30516,30461,78123,23683,62532,200000,90716,50652,200000,200000,200000,200000,35477,2299,164,117
19,Green s,171021,1290,3264,2897,151,5011,565,1346,2635,2477,291,2059,144,3910,2286,1730,1042,159,1574,9400,2105,978,4416,32677,9541,21748,780,35,3,0
20,Acetylated distarch adipate,10229,83,230,148,9,338,31,69,140,129,17,114,10,192,96,101,55,7,58,535,160,46,327,2059,706,1144,29,0,0,0
21,Nitrogen oxide,22220,158,439,425,11,809,105,209,405,200,28,216,11,541,287,234,179,17,159,1109,218,131,434,5930,1036,1875,74,1,0,0
22,Violaxanthin,157943,1468,2641,2141,84,4724,493,1264,2320,1769,203,1392,105,3303,2105,1641,876,94,926,8719,1334,929,3393,31617,7356,18790,718,38,4,1
23,Calcium guanylate,35987,256,708,588,11,1009,93,318,629,398,33,318,24,686,462,329,180,25,260,2021,396,233,790,6991,2008,5007,206,6,1,0
24,Maltol,29043,199,491,417,12,982,111,278,492,311,42,224,17,637,343,308,196,18,191,1574,276,161,616,6724,1295,2590,103,5,1,0
25,Potassium nitrite,88825,845,1746,1333,45,2278,289,675,1324,1077,95,775,58,1739,1065,842,445,49,567,5270,785,512,1880,15549,4135,11608,469,16,3,0
26,Sorbitan tristearate,93929,1559,9441,10276,88,3377,948,1134,2303,2638,230,2236,581,12910,1489,1581,1856,115,4072,8485,2364,527,6542,9374,23881,37550,1090,120,1,1
27,Sodium benzoate,137030,1198,2715,2267,96,4166,464,1124,2008,1533,268,1200,113,3065,1767,1442,984,108,1238,8391,1365,951,3247,26968,7064,16749,647,33,7,126
28,Potassium phosphates,77195,558,1286,1143,43,2395,244,623,1294,873,244,703,45,1500,887,709,466,59,513,4287,826,519,1869,16725,3475,8351,289,11,1,0
29,Red iron oxide,113000,800,2077,2406,68,3642,357,954,1826,1217,151,1047,82,2615,1471,1167,647,68,699,6485,1096,665,2697,24596,5885,13462,519,19,1,1
30,Sodium pectate,62762,775,1114,1067,40,1945,213,472,1196,579,74,457,48,1165,738,608,378,35,413,3530,565,437,2097,13730,2806,6896,258,14,1,0
31,Chlorophylls and Chlorophyllins,200000,1834,4238,3479,164,9603,818,2837,4244,2463,249,1971,158,4725,2586,2293,1391,141,1649,12393,2343,1748,6485,49605,11292,30121,1057,50,3,0
32,Alkaline modified starch,13444,84,308,280,11,469,50,113,189,211,23,151,17,294,102,154,112,22,124,793,194,71,688,2710,928,1691,64,4,0,0
33,Calcium iodate,22711,133,357,271,12,860,120,240,347,230,29,210,17,566,271,287,104,15,134,1240,228,114,383,5996,996,2002,83,1,0,0
34,Sodium acetate,78517,570,1537,1326,52,2453,240,626,1118,889,101,675,58,1527,875,708,538,171,517,5084,924,570,2049,15459,3901,10292,354,15,1,2
35,Sorbitan monopalmitate,45271,328,889,738,35,1308,155,375,712,471,59,353,29,906,556,436,289,29,315,2521,549,305,1116,8382,2381,5503,227,7,0,1
36,calcium peroxide,33530,227,599,915,19,1105,181,295,604,320,57,321,25,785,326,321,229,35,277,1940,393,175,873,7368,1790,4429,172,8,1,0
37,Calcium bisulphite,98117,888,1856,1484,51,2666,321,720,1507,1032,123,863,53,1907,1142,950,579,64,646,5472,1116,715,2182,17556,5001,12352,448,15,2,0
38,Calcium hydroxide,41671,279,634,573,14,1108,126,319,580,346,40,269,21,869,438,355,188,24,215,4103,356,180,947,8367,1846,4366,167,10,0,0
39,Soybean hemicellulose,43137,286,715,593,25,1280,137,356,729,441,54,372,19,920,517,447,215,22,239,2434,400,243,1112,9247,2040,4380,186,5,0,0
40,Magnesium Gluconate,46459,369,823,810,25,1608,169,422,789,432,65,358,36,987,517,420,334,34,302,2753,514,297,1552,11362,2361,4985,207,9,0,0
41,Phosphoric acid,68707,463,1305,1087,41,1744,195,450,873,655,82,508,45,1257,690,567,394,53,378,4450,785,378,1970,11618,3412,7326,246,12,2,1
42,Beetroot red,136874,967,2397,1912,133,4416,513,1202,2092,1504,235,1199,117,3143,1893,1659,690,126,786,7983,1233,709,3335,28933,7053,15881,573,23,2,1
43,flavin mononucleotide,200000,4107,8696,7479,363,8195,1119,2547,5389,3886,532,2819,322,8087,4532,3136,2588,336,3087,26535,3777,2583,12469,53044,20446,61588,2639,69,9,7
44,Oxygen,200000,20194,26930,200000,618,24837,5463,6908,21242,13842,1248,9340,1335,35040,6012,3963,43966,677,30186,80949,16576,4921,62235,64620,84914,200000,6253,254,13,36
