id,codigo_e,nombre_limpio,pubchem_cid,pubchem_synonyms,id_original,nombre_referencia,cluster
en:e333ii,E333II,dicalcium citrate,,,0,dicalcium citrate,0
en:e321,E321,butylated hydroxytoluene,31404.0,"2,6-Di-tert-butyl-4-methylphenol|128-37-0|Butylhydroxytoluene|2,6-Di-tert-butyl-p-cresol|2,6-Di-t-butyl-4-methylphenol",1,butylated hydroxytoluene,0
en:e345,E345,magnesium citrate,8949.0,Magnesium citrate dibasic|magnesium hydrogen citrate|144-23-0|Citresia|Citronema,2,magnesium citrate,0
en:e303,E303,potassium ascorbate,23687519.0,Potassium ascorbate|Potassium L-ascorbate|15421-15-5|Monopotassium ascorbate|UNII-X5523762RI,3,potassium ascorbate,0
en:e1104,E1104,lipase,4062885.0,ethyl 2-amino-5-methylthiophene-3-carboxylate|4815-32-1|DTXSID60398910|RefChem:138570|DTXCID00349769,4,lipase,3
en:e501,E501,potassium carbonates,516893.0,Potassium bicarbonate|298-14-6|Potassium hydrogen carbonate|Potassium hydrogencarbonate|Potassium acid carbonate,5,potassium carbonates,0
en:e490,E490,propylene glycol,1030.0,"propylene glycol|1,2-propanediol|propane-1,2-diol|57-55-6|1,2-Propylene glycol",6,propylene glycol,0
en:e490,E490,propylene glycol,1030.0,"propylene glycol|1,2-propanediol|propane-1,2-diol|57-55-6|1,2-Propylene glycol",155,propylene glycol,2
en:e1520,E1520,propylene glycol,1030.0,"propylene glycol|1,2-propanediol|propane-1,2-diol|57-55-6|1,2-Propylene glycol",6,propylene glycol,0
en:e1520,E1520,propylene glycol,1030.0,"propylene glycol|1,2-propanediol|propane-1,2-diol|57-55-6|1,2-Propylene glycol",155,propylene glycol,2
en:e523,E523,aluminium ammonium sulphate,,,7,aluminium ammonium sulphate,2
en:e401,E401,sodium alginate,,,8,sodium alginate,0
en:e103,E103,alkannin,72521.0,Alkannin|Anchusin|Alkanna Red|Anchusa acid|075CRZ9995,9,alkannin,3
en:e121,E121,citrus red 2,,,10,citrus red 2,3
en:e624,E624,monoammonium glutamate,,,11,monoammonium glutamate,2
en:e1452,E1452,starch aluminium octenyl succinate,,,12,starch aluminium octenyl succinate,2
en:e342,E342,ammonium phosphate,,,13,ammonium phosphate,0
en:e1105,E1105,lysozyme,,,14,lysozyme,0
en:e170ii,E170II,calcium hydrogen carbonate,,,15,calcium hydrogen carbonate,3
en:e968,E968,erythritol,222285.0,ERYTHRITOL|meso-Erythritol|149-32-6|Phycitol|Erythrit,16,erythritol,2
