nombre,e_code,status,ssi,confidence,total_papers,papers_negative,ratio_negative,pct_human_studies,reason
Dicalcium citrate,E333II,SAFE,0.0055,0.07,27,3,0.121,11.0,Low negative evidence
Butylated hydroxytoluene,E321,DANGEROUS,0.7492,0.96,2298,1517,0.66,24.0,High negative evidence
Magnesium citrate,E345,SAFE,0.0823,0.23,129,51,0.399,57.0,Low negative evidence
Potassium ascorbate,E303,SAFE,0.059,0.16,66,25,0.382,69.0,Low negative evidence
lipase,E1104,DANGEROUS,0.5163,1.0,26789,15524,0.58,32.0,High negative evidence
Potassium carbonates,E501,SAFE,0.0465,0.17,69,20,0.297,66.0,Low negative evidence
Propylene glycol,E490,DANGEROUS,0.363,0.99,2430,860,0.354,35.0,High negative evidence
Aluminium ammonium sulphate,E523,SAFE,0.0412,0.11,33,16,0.505,50.0,Low negative evidence
sodium alginate,E401,WATCHLIST,0.2345,1.0,3933,657,0.167,34.0,Moderate concerns (SSI: 23.5%)
Alkannin,E103,SAFE,0.0921,0.32,257,88,0.342,74.0,Low negative evidence
Citrus Red 2,E121,SAFE,0.0788,0.31,236,74,0.315,77.0,Low negative evidence
Monoammonium glutamate,E624,SAFE,0.0261,0.1,26,6,0.253,67.0,Low negative evidence
Starch aluminium octenyl succinate,E1452,UNKNOWN,0.0219,0.03,5,3,0.6,50.0,Insufficient research (5 papers)
Ammonium phosphate,E342,SAFE,0.1748,0.6,901,322,0.358,48.0,Low negative evidence
Lysozyme,E1105,DANGEROUS,0.4282,1.0,18040,7959,0.441,32.0,High negative evidence
Calcium hydrogen carbonate,E170II,UNKNOWN,0.0064,0.02,4,1,0.333,33.0,Insufficient research (4 papers)
Erythritol,E968,DANGEROUS,0.3798,0.87,1896,955,0.504,31.0,High negative evidence
Calcium aluminium silicate,E556,SAFE,0.0358,0.13,43,13,0.323,61.0,Low negative evidence
Erythorbin acid,E317,DANGEROUS,0.4828,1.0,1941172,1027229,0.529,35.0,High negative evidence
Green s,E142,SAFE,0.1077,1.0,5693,763,0.134,58.0,Low negative evidence
Acetylated distarch adipate,E1422,SAFE,0.0458,0.09,21,8,0.42,50.0,Low negative evidence
Nitrogen oxide,E932,WATCHLIST,0.2544,0.72,1294,472,0.365,51.0,Moderate concerns (SSI: 25.4%)
Violaxanthin,E161E,SAFE,0.1943,0.66,1077,449,0.417,28.0,Low negative evidence
Calcium guanylate,E629,DANGEROUS,0.3943,0.78,1504,923,0.614,21.0,High negative evidence
Maltol,E636,SAFE,0.1242,0.35,300,112,0.374,44.0,Low negative evidence
Potassium nitrite,E249,SAFE,0.0945,0.23,137,64,0.474,70.0,Low negative evidence
Sorbitan tristearate,E492,SAFE,0.065,0.19,87,32,0.377,45.0,Low negative evidence
Sodium benzoate,E211,WATCHLIST,0.2371,0.58,831,345,0.416,38.0,Moderate concerns (SSI: 23.7%)
Potassium phosphates,E340,SAFE,0.0606,0.19,91,31,0.35,57.0,Low negative evidence
Red iron oxide,E172II,SAFE,0.0,0.08,18,0,0.0,100.0,Low negative evidence
Sodium pectate,E440AII,SAFE,0.0316,0.06,10,1,0.167,67.0,Low negative evidence
Chlorophylls and Chlorophyllins,E140,WATCHLIST,0.2287,0.43,467,268,0.576,38.0,Moderate concerns (SSI: 22.9%)
Alkaline modified starch,E1402,SAFE,0.1095,0.45,510,126,0.248,41.0,Low negative evidence
Calcium iodate,E916,SAFE,0.0318,0.1,24,7,0.309,27.0,Low negative evidence
Sodium acetate,E262I,WATCHLIST,0.3437,1.0,3103,1288,0.415,30.0,Moderate concerns (SSI: 34.4%)
Sorbitan monopalmitate,E495,SAFE,0.062,0.14,51,20,0.406,72.0,Low negative evidence
calcium peroxide,E930,WATCHLIST,0.2141,0.33,279,110,0.397,53.0,Moderate concerns (SSI: 21.4%)
Calcium bisulphite,E227,SAFE,0.1279,0.28,197,116,0.593,58.0,Low negative evidence
Calcium hydroxide,E526,SAFE,0.1685,1.0,3009,483,0.161,52.0,Low negative evidence
Soybean hemicellulose,E426,SAFE,0.0529,0.14,48,19,0.398,69.0,Low negative evidence
Magnesium Gluconate,E580,SAFE,0.0433,0.13,44,16,0.366,44.0,Low negative evidence
