id,e_code,nombre,ssi,confidence,total_papers,papers_negative,ratio_negative,pct_human_studies,reason,efsa_status,traffic_light
en:e333ii,E333II,Dicalcium citrate,0.0055,0.07,27,3,0.121,11.0,Low negative evidence,APROVED,SEGURO
en:e321,E321,Butylated hydroxytoluene,0.7492,0.96,2298,1517,0.66,24.0,High negative evidence,APPROVED,EVITAR
en:e345,E345,Magnesium citrate,0.0823,0.23,129,51,0.399,57.0,Low negative evidence,APROVED,SEGURO
en:e303,E303,Potassium ascorbate,0.059,0.16,66,25,0.382,69.0,Low negative evidence,APPROVED,SEGURO
en:e1104,E1104,lipase,0.5163,1.0,26789,15524,0.58,32.0,High negative evidence,APROVED,EVITAR
en:e501,E501,Potassium carbonates,0.0465,0.17,69,20,0.297,66.0,Low negative evidence,APPROVED,SEGURO
en:e490,E490,Propylene glycol,0.363,0.99,2430,860,0.354,35.0,High negative evidence,APROVED,EVITAR
en:e523,E523,Aluminium ammonium sulphate,0.0412,0.11,33,16,0.505,50.0,Low negative evidence,APPROVED,SEGURO
en:e401,E401,sodium alginate,0.2345,1.0,3933,657,0.167,34.0,Moderate concerns (SSI: 23.5%),APPROVED,PRECAUCION
en:e103,E103,Alkannin,0.0921,0.32,257,88,0.342,74.0,Low negative evidence,APROVED,SEGURO
en:e121,E121,Citrus Red 2,0.0788,0.31,236,74,0.315,77.0,Low negative evidence,APROVED,SEGURO
en:e624,E624,Monoammonium glutamate,0.0261,0.1,26,6,0.253,67.0,Low negative evidence,APPROVED,SEGURO
en:e1452,E1452,Starch aluminium octenyl succinate,0.0219,0.03,5,3,0.6,50.0,Insufficient research (5 papers),APROVED,SEGURO
en:e342,E342,Ammonium phosphate,0.1748,0.6,901,322,0.358,48.0,Low negative evidence,APROVED,SEGURO
en:e1105,E1105,Lysozyme,0.4282,1.0,18040,7959,0.441,32.0,High negative evidence,APPROVED,EVITAR
