id_original,nombre_referencia,cluster,id
0,Dicalcium citrate,0,en:e333ii
1,Butylated hydroxytoluene,1,en:e321
2,Magnesium citrate,0,en:e345
3,Potassium ascorbate,0,en:e303
4,lipase,1,en:e1104
5,Potassium carbonates,0,en:e501
6,Propylene glycol,0,en:e490
6,Propylene glycol,0,en:e1520
7,Aluminium ammonium sulphate,0,en:e523
8,sodium alginate,0,en:e401
9,Alkannin,1,en:e103
10,Citrus Red 2,1,en:e121
11,Monoammonium glutamate,0,en:e624
12,Starch aluminium octenyl succinate,0,en:e1452
13,Ammonium phosphate,0,en:e342
14,Lysozyme,0,en:e1105
15,Calcium hydrogen carbonate,1,en:e170ii
16,Erythritol,0,en:e968
17,Calcium aluminium silicate,0,en:e556
18,Erythorbin acid,1,en:e317
19,Green s,1,en:e142
20,Acetylated distarch adipate,0,en:e1422
21,Nitrogen oxide,0,en:e932
22,Violaxanthin,1,en:e161e
23,Calcium guanylate,0,en:e629
24,Maltol,0,en:e636
25,Potassium nitrite,0,en:e249
26,Sorbitan tristearate,1,en:e492
27,Sodium benzoate,1,en:e211
28,Potassium phosphates,0,en:e340
29,Red iron oxide,1,en:e172ii
30,Sodium pectate,0,en:e440aii
31,Chlorophylls and Chlorophyllins,1,en:e140
32,Alkaline modified starch,0,en:e1402
33,Calcium iodate,0,en:e916
34,Sodium acetate,0,en:e262i
35,Sorbitan monopalmitate,0,en:e495
36,calcium peroxide,0,en:e930
37,Calcium bisulphite,0,en:e227
38,Calcium hydroxide,0,en:e526
39,Soybean hemicellulose,0,en:e426
40,Magnesium Gluconate,0,en:e580
41,Phosphoric acid,0,en:e338
42,Beetroot red,1,en:e162
43,flavin mononucleotide,1,en:e106
44,Oxygen,1,en:e948
45,Quillaia extract,0,en:e999
46,Dipotassium tartrate,0,en:e336ii
47,carotene,1,en:e160a
48,Tocopherol-rich extract,0,en:e306
49,Gardenia Blue,1,en:e165
50,Potassium malate,0,en:e351
51,Sodium fumarate,0,en:e365
52,Brilliant black bn,1,en:e151
53,Rubixanthin,1,en:e161d
54,Sodiumglycinate,0,en:e640ii
55,Magnesium silicates,0,en:e553
56,Alpha-Amylase,0,en:e1100
57,Hydrogenated poly-1-decene,0,en:e907
58,Calcium stearoyl-2-lactylate,0,en:e482
59,Sulphite ammonia caramel,1,en:e150d
60,Carotenoids,1,en:e160
